Local Body Code,Local Body Version,Local Body Name (IN English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Intermediate/Block Panchayat Code,District Panchayat Code,State Code,State Name (In English)
287866,2,Betgora B,,22,Village Employment Council,293339,0,17,MEGHALAYA
283938,2,Beti Apal,,22,Village Employment Council,291710,0,17,MEGHALAYA
284965,2,Betramgre,,22,Village Employment Council,291695,0,17,MEGHALAYA
283269,2,Bettola,,22,Village Employment Council,292762,0,17,MEGHALAYA
288297,2,Bhain,,22,Village Employment Council,293413,0,17,MEGHALAYA
282182,2,Bhajamara,,22,Village Employment Council,292017,0,17,MEGHALAYA
282229,2,Bhalukmari,,22,Village Employment Council,292141,0,17,MEGHALAYA
282023,2,Bhangarpar,,22,Village Employment Council,291790,0,17,MEGHALAYA
282091,2,Bharalgaon,,22,Village Employment Council,293172,0,17,MEGHALAYA
283540,2,Bhatua Gaon,,22,Village Employment Council,292098,0,17,MEGHALAYA
288440,2,Bhoi Kyrweng,,22,Village Employment Council,292803,0,17,MEGHALAYA
287121,2,Bhoilymbong (Lumsohpieng),,22,Village Employment Council,292437,0,17,MEGHALAYA
283172,2,Bhoirakupi,,22,Village Employment Council,291585,0,17,MEGHALAYA
283173,2,Bhoirakupi(Beltuli),,22,Village Employment Council,291585,0,17,MEGHALAYA
283175,2,Bhoirakupi(Marahali),,22,Village Employment Council,291585,0,17,MEGHALAYA
283174,2,Bhoirakupi(Nolbari),,22,Village Employment Council,291585,0,17,MEGHALAYA
287966,2,Bholaganj ( Majai),,22,Village Employment Council,292496,0,17,MEGHALAYA
282052,2,Bholarbhita,,22,Village Employment Council,291733,0,17,MEGHALAYA
282053,2,Bholarbhita  (W),,22,Village Employment Council,291733,0,17,MEGHALAYA
288671,2,Bholarbhitta(W),,22,Village Employment Council,291734,0,17,MEGHALAYA
283180,2,Bhorikupi (Lutubari),,22,Village Employment Council,291585,0,17,MEGHALAYA
282090,2,Bhotdoba,,22,Village Employment Council,292870,0,17,MEGHALAYA
288343,2,Biar,,22,Village Employment Council,291735,0,17,MEGHALAYA
